Project ID,Name,Borough,Address,Block & Lot,Project Class
"10TMP0067K, 10EH-N067K, 19TMP1982K (MERGED)",343 Gold Street - Avalon Fort Greene,Brooklyn,343 Gold Street,"Block: 2049, Lot:1 ...",Completed (C)
"10TMP0052K, 10EH-N052K, 23TMP0037K (MERGED)",885 Grand Street,Brooklyn,885 Grand Street,"Block: 2922, Lot:34",Completed (C)
"10TMP0050K, 10EH-N050K, 13CVCP088K, 21TMP0538K (MERGED)",285 Jay Street,Brooklyn,285 Jay Street,"Block: 131, Lot:1",Completed (C)
"10TMP0025K, 10EH-N025K",886 Dahill Road,Brooklyn,886 Dahill Road,"Block: 5457, Lot:5 ...",Completed (C)
"10TMP0087K, 10EHAZ087K",572-576 5th Avenue,Brooklyn,572 5th Avenue,"Block: 1052, Lot:44 ...",Completed (C)
"10TMP0123K, 10EH-A123K",51 Jay Street - Conversion DOB Job No. 320118788,Brooklyn,51 Jay Street,"Block: 31, Lot:1",Completed (C)
"13TMP0318K, 13EHAZ318K, 13CVCP128K",501 Leonard Street,Brooklyn,501 Leonard Street,"Block: 2697, Lot:7 ...",Active (A)
"12TMP0390K, 12EH-N390K",333 Schermerhorn Street,Brooklyn,333 Schermerhorn Street,"Block: 167, Lot:13",Completed (C)
"12TMP0200K, 12EHAZ200K, 15CVCP095K",387 Manhattan Avenue,Brooklyn,387 Manhattan Avenue,"Block: 2738, Lot:21",Completed (C)
"09TMP0197K, 09EH-N197K",SCA - 942 62nd Street - DOB Job No. NB-302136203,Brooklyn,942 62nd Street,"Block: 5729, Lot:24",Completed (C)
"09TMP0192K, 09EHAZ192K",460 Grand Street,Brooklyn,460 Grand Street,"Block: 2399, Lot:8",Completed (C)
"22TMP1733K, 22EH-N402K",3051 ATLANTIC AVENUE,Brooklyn,3051 ATLANTIC AVENUE,"Block: 3957, Lot:53",Active (A)
"22TMP1727K, 22EHAZ403K",833 4TH AVENUE,Brooklyn,833 4th Avenue,"Block: 673, Lot:1",Active (A)
"22TMP1654K, 22EH-N383K",528 GRAND STREET,Brooklyn,528 GRAND STREET,"Block: 2785, Lot:14 ...",Active (A)
"22TMP1618K, 22EHAZ369K, 23CVCP007K",97 North 6th Street,Brooklyn,97 NORTH 6TH STREET,"Block: 2326, Lot:34",Active (A)
"22TMP1597K, 22EH-A363K",558 Sackett Street,Brooklyn,558 SACKETT STREET,"Block: 433, Lot:14",Active (A)
"22TMP1596K, 22EHAN358K",224 3rd Avenue,Brooklyn,224 3RD AVENUE,"Block: 426, Lot:36",Active (A)
"22TMP1565K, 22EHAN347K",178 SOMERS STREET,Brooklyn,178 SOMERS STREET,"Block: 1544, Lot:21",Active (A)
"22TMP1544K, 22EH-N345K",167 4th Avenue,Brooklyn,167 4TH AVENUE,"Block: 946, Lot:1",Active (A)
"22TMP1378K, 22EH-N319K",517-523 NOSTRAND AVENUE,Brooklyn,517-523 NOSTRAND AVENUE,"Block: 1867, Lot:15 ...",Active (A)
"22TMP1353K, 22EHAN317K, 22CVCP079K",2667 Fulton Street,Brooklyn,2667 FULTON STREET,"Block: 3661, Lot:1",Active (A)
"13TMP0490K, 13EHAZ490K",385 4th Avenue - DOB Job No. NB - 310020456,Brooklyn,385 4th Avenue,"Block: 993, Lot:6",Completed (C)
"22TMP1278K, 22EHAN390K",1034-1042 ATLANTIC AVENUE,Brooklyn,1034-1042 ATLANTIC AVENUE,"Block: 1125, Lot:29 ...",Active (A)
"22TMP1225K, 22EH-N284K",15 WEST STREET (Tower D2),Brooklyn,15 WEST STREET,"Block: 2570, Lot:10 ...",Active (A)
"22TMP1095K, 22EHAN258K, 22CVCP085K",60 Throop Avenue,Brooklyn,60 THROOP AVENUE,"Block: 2250, Lot:129",Active (A)
"22TMP1063K, 22EHAZ253K, 22CVCP071K",511 Meeker Avenue,Brooklyn,511 MEEKER AVENUE,"Block: 2727, Lot:47",Active (A)
"22TMP0990K, 22EHAN220K",225 3rd Street,Brooklyn,225 3RD STREET,"Block: 972, Lot:43 ...",Active (A)
"22TMP0968K, 22EHAZ228K",19 ROCKWELL PLACE,Brooklyn,19 ROCKWELL PLACE,"Block: 2095, Lot:10",Active (A)
"22TMP0917K, 22EHAZ218K",524 Baltic Street,Brooklyn,524 BALTIC STREET,"Block: 406, Lot:18",Active (A)
"22TMP0914K, 22EHAN222K, 22TMP1133K (MERGED), 22CVCP084K",840-856 Atlantic Avenue,Brooklyn,840 ATLANTIC AVENUE,"Block: 1122, Lot:71 ...",Active (A)
"22TMP0849K, 22EHAN187K",141 3rd Street,Brooklyn,141 3RD STREET,"Block: 462, Lot:12 ...",Active (A)
"22TMP0839K, 22EH-N233K",2738 ATLANTIC AVE,Brooklyn,2738 ATLANTIC AVE,"Block: 3690, Lot:15",Active (A)
"22TMP0815K, 22EHAZ223K, 22CVCP074K",288 Jackson Street,Brooklyn,288 JACKSON STREET,"Block: 2885, Lot:35",Active (A)
"22TMP0771K, 22EHAN168K",204 4th Avenue,Brooklyn,204 4TH AVENUE,"Block: 434, Lot:35",Active (A)
22TMP0509K,673 LIVONIA AVENUE,Brooklyn,673 LIVONIA AVENUE,"Block: 3808, Lot:1",Active (A)
"22TMP0391K, 22EHAN084K",2246 Fulton Street,Brooklyn,2246 FULTON STREET,"Block: 1553, Lot:18",Active (A)
"22TMP0299K, 22EHAN066K",659 Flushing Avenue,Brooklyn,659 FLUSHING AVENUE,"Block: 2272, Lot:55",Active (A)
"22TMP0100K, 22CVCP022K, 22EH-A266K",105 River Street (North Tower),Brooklyn,87 RIVER STREET,"Block: 2361, Lot:1 ...",Active (A)
"22TMP0009K, 22EH-N019K",340 Myrtle Avenue,Brooklyn,340 MYRTLE AVENUE,"Block: 2073, Lot:21",Active (A)
"21TMP1469K, 21EHAZ296K, 22CVCP021K",25 Milford Street,Brooklyn,25 MILFORD STREET,"Block: 4153, Lot:27",Active (A)
"21TMP1457K, 22EH-A012K",2776 OCEAN AVE,Brooklyn,2776 OCEAN AVE,"Block: 7404, Lot:28",Active (A)
"21TMP1447K, 21EH-N293K, 22TMP0213K (MERGED), 22TMP0214K (MERGED), 22TMP0215K (MERGED), 22TMP0549K (MERGED), 22CVCP036K, 22TMP1023K (MERGED)",356-380 Fulton Street,Brooklyn,356-370 FULTON STREET,"Block: 154, Lot:5 ...",Active (A)
"21TMP1315K, 22EHAN204K",240 Huntington Street,Brooklyn,300 HUNTINGTON STREET,"Block: 477, Lot:8",Active (A)
"21TMP1294K, 22CVCP057K",881-885 New Jersey Avenue,Brooklyn,881-885 NEW JERSEY AVENUE,"Block: 4348, Lot:48 ...",Active (A)
"21TMP1253K, 21EH-A264K",400 THATFORD AVENUE,Brooklyn,400 THATFORD AVENUE,"Block: 3603, Lot:42",Active (A)
"21TMP1172K, 21EHAN252K",62 THROOP AVENUE,Brooklyn,62 THROOP AVENUE,"Block: 2250, Lot:32",Active (A)
"21TMP1142K, 21EHAN243K, 21CVCP058K",1050 Pacific Street,Brooklyn,643 CLASSON AVENUE,"Block: 1134, Lot:2 ...",Active (A)
"21TMP0901K, 21EH-N188K, 21CVCP043K",155 Carlton Avenue,Brooklyn,155 CARLTON AVENUE,"Block: 2073, Lot:22",Active (A)
"21TMP0827K, 21EH-N180K, 22CVCP009K",979 Pacific Street,Brooklyn,979 PACIFIC STREET,"Block: 1125, Lot:1",Active (A)
"21TMP0756K, 21CVCP045K",83 Apollo Street,Brooklyn,83 APOLLO STREET,"Block: 2661, Lot:16 ...",Active (A)
"21TMP0597K, 21RHAZ123K, 21CVCP038K",89 Union Avenue,Brooklyn,89 UNION AVENUE,"Block: 2241, Lot:39",Active (A)
"21TMP0441K, 21EHAN097K",636 86TH STREET,Brooklyn,636 86TH STREET,"Block: 6055, Lot:21",Active (A)
"21TMP0404K, 21EHAZ089K, 21CVCP026K",4701 19th Avenue,Brooklyn,4701 19TH AVENUE,"Block: 5457, Lot:166",Active (A)
"21TMP0398K, 22CVCP064K",1625 Prospect Place,Brooklyn,1625 PROSPECT PL,"Block: 1363, Lot:60",Active (A)
"21TMP0397K, 22CVCP058K",772 Halsey Street,Brooklyn,772 HALSEY ST,"Block: 1668, Lot:48",Active (A)
"21TMP0395K, 22CVCP065K",53 MacDougal Street,Brooklyn,53 MACDOUGAL ST,"Block: 1524, Lot:43",Active (A)
"21TMP0327K, 21EH-N073K",668 Metropolitan Avenue,Brooklyn,668 METROPOLITAN AVENUE,"Block: 2763, Lot:18",Active (A)
