project_id,name,borough,address,block_lot,project_class,zip_code,latitude,longitude
19CVCP053K,Greenpoint Landing D,Brooklyn,1 EAGLE STREET,Block: 2472Lot:21 ...,Completed (C),11222-7283,40.736118,-73.959747
22CVCP049K,73-75 McGuinness Blvd,Brooklyn,73-75 MCGUINNESS BLVD,Block: 2649Lot:24 ...,Active (A),11222-3356,40.724983,-73.948677
18CVCP079K,575 Grand Street,Brooklyn,575 Grand Street,Block: 2780Lot:1 ...,Active (A),11211-4801,40.711445,-73.948578
17CVCP053K,566 Grand Street,Brooklyn,566 Grand Street,Block: 2785Lot:27 ...,Active (A),11211-3503,40.710972,-73.949196
21CVCP053K,209 North 11th Street,Brooklyn,209 NORTH 11TH STREET,Block: 2292Lot:29,Active (A),11211-1112,40.719051,-73.9533
22CVCP034K,Greenpoint Landing E1,Brooklyn,16 DUPONT STREET,Block: 2494Lot:6 ...,Active (A),11222-7283,40.736118,-73.959747
23CVCP009K,88 North 1st Street,Brooklyn,88 North 1st Street,Block: 2379Lot:9,Active (A),11249-3936,40.716053,-73.963463
21CVCP041K,584 4th Avenue,Brooklyn,584 4th Avenue,Block: 1051Lot:39,Active (A),11215-5307,40.665909,-73.99295
20CVCP067K,886 Broadway,Brooklyn,886 BROADWAY,Block: 1582Lot:15 ...,Completed (C),11206-5901,40.697868,-73.937393
21CVCP014K,590-594 Myrtle Avenue,Brooklyn,590-594 MYRTLE AVENUE,Block: 1910Lot:25 ...,Completed (C),11205-5325,40.693851,-73.960693
22CVCP007K,639-641 East 28th Street,Brooklyn,639-641 EAST 28TH STREET,Block: 5251Lot:14 ...,Active (A),11210-2425,40.635139,-73.949562
