street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 975 Manhattan Ave,SS2,Carbon Tetrachloride,ND,0.04,ND,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Chlorobenzene,ND,0.217,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Chloroethane,ND,0.379,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Chloroform,ND,0.20499999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Chloromethane,ND,0.48499999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"cis-1,3-Dichloropropene",ND,0.221,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Cyclohexane,3.66,0.29099999999999998,12.6,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Dibromochloromethane,ND,0.11799999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Dichlorodifluoromethane,0.438,0.20200000000000001,2.16,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Ethanol,128,S    2.66,241,5.01,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Ethyl acetate,3.09,0.27800000000000002,11.1,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Ethylbenzene,6.79,0.23,29.5,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Heptane,5.59,0.24399999999999999,22.9,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Hexachlorobutadiene,ND,9.4E-2,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Hexane,3.87,S   0.284,13.6,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Isopropylalcohol,21.2,S   0.407,52.1,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Isopropylbenzene,0.53500000000000003,0.20399999999999999,2.63,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"m,p-Xylene",21.5,0.23,93.3,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Methyl Ethyl Ketone,0.80900000000000005,0.33900000000000002,2.38,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Methylene Chloride,ND,0.28799999999999998,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,n-Butylbenzene,0.374,0.182,2.0499999999999998,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,o-Xylene,8.61,0.23,37.4,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Propylene,4.3899999999999997,0.58099999999999996,7.55,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,sec-Butylbenzene,ND,0.182,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Styrene,ND,0.23499999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Tetrachloroethene,0.128,3.6999999999999998E-2,0.87,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Tetrahydrofuran,ND,0.33900000000000002,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Toluene,26.2,0.26600000000000001,98.7,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,NA,KCA,TO15,phoenix
