street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 1,Ethanol,82.5,E  0.531,155,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Ethyl acetate,1.36,0.27800000000000002,4.9000000000000004,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Ethylbenzene,0.63,0.23,2.73,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Heptane,ND,0.24399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Hexane,ND,0.28399999999999997,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Isopropylalcohol,1.63,0.40699999999999997,4,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"m,p-Xylene",2.41,0.23,10.5,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Methyl Ethyl Ketone,4.7699999999999996,0.33900000000000002,14.1,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,n-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,o-Xylene,0.81699999999999995,0.23,3.55,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Propylene,0.71199999999999997,0.58099999999999996,1.22,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,sec-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Styrene,0.371,0.23499999999999999,1.58,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Tetrachloroethene,0.90200000000000002,3.6999999999999998E-2,6.11,0.25,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Tetrahydrofuran,7.04,0.33900000000000002,20.8,1,2018-08-06T04:00:00Z,KCA,1
