street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution,lab
SV 578 5th Avenue,SV-2,sec-Butylbenzene,ND,0.182,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Styrene,ND,0.23499999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Tetrachloroethene,0.78300000000000003,3.6999999999999998E-2,5.31,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Tetrahydrofuran,5.44,0.33900000000000002,16,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Toluene,48,1.33,181,5.01,2016-09-09T04:00:00Z,KCA,5,phoenix
SV 578 5th Avenue,SV-2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Trichloroethene,9.6000000000000002E-2,4.7E-2,0.52,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Trichlorofluoromethane,0.75900000000000001,0.17799999999999999,4.26,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,% Bromofluorobenzene,100,%,100,%,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,1,1-Trichloroethane",ND,0.183,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,1-Dichloroethane",ND,0.247,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,1-Dichloroethene",ND,0.252,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
